Song Title,Artist,Album Title,Popularity,Genres,Artist Link,Track ID
Eres Arte <3,Eslabon Armado,Vibras De Noche II,67,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",https://open.spotify.com/artist/0XeEobZplHxzM9QzFQWLiR,5yJBiHH4O9q3gFVFl4abUZ
Mientras te amaba,Eslabon Armado,Vibras De Noche II,63,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",https://open.spotify.com/artist/0XeEobZplHxzM9QzFQWLiR,5t5rVTGSiQ5rmPfM213ozW
OTRAS 24 HORAS,Eslabon Armado,Vibras De Noche II,73,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",https://open.spotify.com/artist/0XeEobZplHxzM9QzFQWLiR,0pDnaflKbJcMj1TVbDDcH0
NO VOY A JUGAR,Eslabon Armado,Vibras De Noche II,66,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",https://open.spotify.com/artist/0XeEobZplHxzM9QzFQWLiR,027Ux04z3yNfLRQC6J1Cwf
Esa noche,Eslabon Armado,Vibras De Noche II,68,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",https://open.spotify.com/artist/0XeEobZplHxzM9QzFQWLiR,2mgB7dTJpANxh0Xayd0o9S
XOXO,Eslabon Armado,Vibras De Noche II,66,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",https://open.spotify.com/artist/0XeEobZplHxzM9QzFQWLiR,2t1d6qFtS45YDOJ2SIjYtO
Dime,Eslabon Armado,Vibras De Noche II,70,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",https://open.spotify.com/artist/0XeEobZplHxzM9QzFQWLiR,4oSFRdQOUmIx5y7lSN8UU2
TE ODIO!,Eslabon Armado,Vibras De Noche II,70,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",https://open.spotify.com/artist/0XeEobZplHxzM9QzFQWLiR,5dQwZJPmRoHziPCGmKyxvt
Baila Esta Cumbia,Selena,La Leyenda (Version Super Deluxe),69,"tejano, cumbia, música mexicana",https://open.spotify.com/artist/6IE6z7DcZIT4Ml3Fh5Ivch,3lFGBrRWUxpTfhhq6lGBRw
Bidi Bidi Bom Bom,Selena,La Leyenda (Version Super Deluxe),70,"tejano, cumbia, música mexicana",https://open.spotify.com/artist/6IE6z7DcZIT4Ml3Fh5Ivch,0o9Vr0BGIQPh32staLHcuU
I Write Sins Not Tragedies,Panic! At The Disco,Rock,32,emo,https://open.spotify.com/artist/20JZFwl6HVl6yg8a4H3ZqK,7aY0uHvvebcVSnV1rtc6B8
Oh My Love - Remastered 2010,John Lennon,Imagine,58,christmas,https://open.spotify.com/artist/4x1nvY2FN8jxqAFA0DA02H,0gDyuX5rdHulQTUyrIdSR1
Three Little Birds,Bob Marley & The Wailers,Legend - The Best Of Bob Marley And The Wailers,73,"reggae, roots reggae",https://open.spotify.com/artist/2QsynagSdAqZj3U9HgDzjD,7vggqxNKwd6xdRoYS0pQtM
I'm So Tired - Remastered 2009,The Beatles,The Beatles (Remastered),58,"classic rock, psychedelic rock",https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,2X9H5BokS1u5O46YpNYNsZ
Tek It,Cafuné,Running,84,Unknown,https://open.spotify.com/artist/581C5Qwl87TskfBEzuoisu,751srcHf5tUqcEa9pRCQwP
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",CALL ME IF YOU GET LOST,77,Unknown,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF,5B0kgjHULYJhAQkK5XsMoC
Tres de la Mañana,Eslabon Armado,Tu Veneno Mortal,54,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",https://open.spotify.com/artist/0XeEobZplHxzM9QzFQWLiR,2KZVUNMAbJ30Tvy9PkY7dB
Tonto Perdedor,Eslabon Armado,"Tu Veneno Mortal, Vol. 2",63,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",https://open.spotify.com/artist/0XeEobZplHxzM9QzFQWLiR,67WSWDDuEEmBIXTchwACs1
Me Hiciste un Loco,Ivan Cornejo,Dañado,72,"sad sierreño, corridos tumbados, corrido, música mexicana, sierreño",https://open.spotify.com/artist/6PH3FLQAxtqYy46Zv08bpV,0iade05WRF2AsjkRHDXz0v
ENQLAO,Ricardo y Emmanuel,ENQLAO,41,"sad sierreño, corridos tumbados",https://open.spotify.com/artist/7tWMqb6F5WN1ubpuXqa0Jb,2ADOFTkN2zWlFzH0Nju41x
SI SUPIERAS,Eslabon Armado,NOSTALGIA,69,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",https://open.spotify.com/artist/0XeEobZplHxzM9QzFQWLiR,7KDYKPhxFFRDBSbgcfLxUT
No Lo Vio,Saul Villarreal,No Lo Vio,53,sad sierreño,https://open.spotify.com/artist/2x8UcZmAbP008alg57hI3K,0SAkvz9FfuzsxxovARfKd3
Cielo Eterno,DannyLux,Cielo Eterno - Spotify Singles,71,"sad sierreño, corridos tumbados, corrido, sierreño, música mexicana, electro corridos",https://open.spotify.com/artist/6ElqtIfQsAkEYypgfJIjeK,2kbVIAXEqZybRPxLUvqx0q
Father Time (feat. Sampha),Kendrick Lamar,Mr. Morale & The Big Steppers,74,"hip hop, west coast hip hop",https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,28qA8y1sz0FTuSapsCxNOG
Is It Any Wonder?,Durand Jones & The Indications,Durand Jones & The Indications,63,retro soul,https://open.spotify.com/artist/6TVVIyd0fsRDGg6WzHKyTP,3sXAAkkejrZAs57QHjnuZf
Iris,The Goo Goo Dolls,Dizzy up the Girl,93,Unknown,https://open.spotify.com/artist/2sil8z5kiy4r76CRTXxBCA,6Qyc6fS4DsZjB2mRW9DsQs
Sex on Fire,Kings of Leon,Only By The Night,86,modern rock,https://open.spotify.com/artist/2qk9voo8llSGYcZ6xrBzKx,0ntQJM78wzOLVeCUAW7Y45
"Dear Maria, Count Me In",All Time Low,"So Wrong, It's Right",81,"pop punk, emo, emo pop, punk",https://open.spotify.com/artist/46gyXjRIvN1NL1eCB8GBxo,0JJP0IS4w0fJx01EcrfkDe
Rain,The Teskey Brothers,Run Home Slow,60,"retro soul, soul blues, blues",https://open.spotify.com/artist/2nTjd2lNo1GVEfXM3bCnsh,1s4Jpm4mhKgIyQ4Misd5eT
Por Mi No Te Detengas,Banda MS de Sergio Lizárraga,Con Todas Las Fuerzas,73,"banda, norteño, grupera, música mexicana, corrido",https://open.spotify.com/artist/2C6i0I5RiGzDKN9IAF8reh,3mV5TTtHnXUeOzRkyFKsVl
Prisión De Amor,Los Tigres Del Norte,Herencia De Familia,75,"norteño, corrido, ranchera, banda, grupera, música mexicana, cumbia norteña",https://open.spotify.com/artist/3hYtANQYrE6pd2PbtEyTIy,3Lpg4XUPBhscufuiSCNd30
Watch Your Mouth,The Backseat Lovers,When We Were Friends,66,Unknown,https://open.spotify.com/artist/6p2HnfM955TI1bX34dkLnI,4DHLopEsKDwQBgucGKJuzj
Evil Ways,Santana,Santana (Legacy Edition),67,Unknown,https://open.spotify.com/artist/6GI52t8N5F02MxU0g5U69P,5tmrnhMxx39jnu3kjopMdP
Time of the Season - Mono Version,The Zombies,Odessey and Oracle,72,"baroque pop, psychedelic rock, psychedelic pop",https://open.spotify.com/artist/2jgPkn6LuUazBoBk6vvjh5,6ub8sQIKHkyYK4KlB9gbxh
Since I've Been Loving You - Remaster,Led Zeppelin,Led Zeppelin III (Remaster),67,"classic rock, rock, hard rock, rock and roll",https://open.spotify.com/artist/36QJpDe2go2KgaRleHCDTp,1SDiiE3v2z89VxC3aVRKHQ
Nights In White Satin - Single Version / Mono,The Moody Blues,Days Of Future Passed (Deluxe Version),68,"progressive rock, symphonic rock, art rock, blues, baroque pop, psychedelic rock",https://open.spotify.com/artist/5BcZ22XONcRoLhTbZRuME1,6L5BZEcZmD6RBJnimzlyKr
blue,yung kai,blue,92,Unknown,https://open.spotify.com/artist/6zO1dZ40fTZ5hY9NnnRJSk,3be9ACTxtcL6Zm4vJRUiPG
Adventure of a Lifetime,Coldplay,A Head Full of Dreams,88,Unknown,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,69uxyAqqPIsUyTO8txoP2M
One Last Breath,Creed,Weathered,86,post-grunge,https://open.spotify.com/artist/43sZBwHjahUvgbx1WNIkIz,42T2QQv3xgBlpQxaSP7lnK
The Mist,Nine Sparks Riots,The Mist,35,"jazz funk, jazz fusion",https://open.spotify.com/artist/4y6ORtg4fPmsXNftMLw12X,2HXErrflex5ZjTBHeQa6CZ
Other Things,Plini,Other Things,46,"djent, progressive metal, math rock, progressive rock, jazz fusion",https://open.spotify.com/artist/3Gs10XJ4S4OEFrMRqZJcic,75HcVj6oHEKUajYqTi2u6W
Sick Love,Red Hot Chili Peppers,The Getaway,70,"funk rock, alternative rock, rock",https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,6GsP3uMCd0Dn5T37C93waZ
Not The Same Anymore,The Strokes,The New Abnormal,62,"garage rock, indie rock, alternative rock",https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V,5ncofiedz9Ej6YkvvXMKVn
Why Are Sundays So Depressing,The Strokes,The New Abnormal,69,"garage rock, indie rock, alternative rock",https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V,1aOxOpH4AkGAd8OMrKjyNY
At The Door,The Strokes,The New Abnormal,61,"garage rock, indie rock, alternative rock",https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V,7lu6YLrlB1MU7HW8DJSuPa
Bad Decisions,The Strokes,The New Abnormal,64,"garage rock, indie rock, alternative rock",https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V,55N8cxpE1QDoeaaNqUnoZ2
The Adults Are Talking,The Strokes,The New Abnormal,83,"garage rock, indie rock, alternative rock",https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V,5ruzrDWcT0vuJIOMW7gMnW
Over and Over,The Altons,When You Go (That's When You'll Know),52,retro soul,https://open.spotify.com/artist/5AgZ9r9ZdWm7mD9t03KZZu,1ViQlP26zTlc9hYOMAwbhp
Like Him (feat. Lola Young),"Tyler, The Creator",CHROMAKOPIA,91,Unknown,https://open.spotify.com/artist/4V8LLVI7PbaPR0K2TGSxFF,6jbYpRPTEFl1HFKHk1IC0m
APT.,ROSÉ,APT.,95,k-pop,https://open.spotify.com/artist/3eVa5w3URK5duf6eyVDbu9,5vNRhkKd0yEAg8suGBpjeY
Le Départ,Adi Oasis,Lotus Glow,61,"retro soul, neo soul",https://open.spotify.com/artist/5RRfTrwXUGYiBB0DMV4hyh,0FTpFi1BlqoBVELlh7jK50
Caravan,John Wasson,Whiplash (Original Motion Picture Soundtrack),62,"jazz, big band",https://open.spotify.com/artist/2ObUFCwd6NhS8iyCv8JdPL,2Xtsv7BUMrNodQWH2JPOc0
Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),Free Nationals,Free Nationals,68,Unknown,https://open.spotify.com/artist/4596e2d3KmYzAeVenjCxfj,0cciBj4236w1xByzZvn92D
Beanie,Chezile,Beanie,88,Unknown,https://open.spotify.com/artist/1EmdfupUQDpXOcb4Nj2mBH,5e0b9LgOfi3aJSKXFcOWRe
I Talk To The Wind,King Crimson,In The Court Of The Crimson King (Expanded & Remastered Original Album Mix),59,"progressive rock, art rock, symphonic rock, psychedelic rock",https://open.spotify.com/artist/7M1FPw29m5FbicYzS2xdpi,1T0CdfKPKb1gJi4vCKpZ9C
Exit Music (For A Film),Radiohead,OK Computer,81,"art rock, alternative rock",https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,0z1o5L7HJx562xZSATcIpY
Reckoner,Radiohead,In Rainbows,71,"art rock, alternative rock",https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,02ppMPbg1OtEdHgoPqoqju
Weird Fishes / Arpeggi,Radiohead,In Rainbows,79,"art rock, alternative rock",https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,4wajJ1o7jWIg62YqpkHC7S
Die With A Smile,Lady Gaga,Die With A Smile,98,"art pop, pop",https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,2plbrEY59IikOBgBGLjaoe
You'll Never Walk Alone,Gerry & The Pacemakers,The Very Best Of Gerry & Pacemakers,62,Unknown,https://open.spotify.com/artist/3UmBeGyNwr4iDWi1vTxWi8,6fSNK6QlZskYmKTvJnNH5P
No Church In The Wild,JAY-Z,Watch The Throne,77,"hip hop, east coast hip hop, rap",https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB,7r6PigmGzlB3YPB7wvBBbi
Selfless,The Strokes,The New Abnormal,77,"garage rock, indie rock, alternative rock",https://open.spotify.com/artist/0epOFNiUfyON9EYx7Tpr6V,2t0wwvR15fc3K1ey8OiOaN
Hash Pipe,TOTO,Hash Pipe,32,soft rock,https://open.spotify.com/artist/0PFtn5NtBbbUNbU9EAmIWF,6Tf4Yl9l6sDeENoV0STQTb
The Physical Attractions,The Symposium,The Symposium,54,Unknown,https://open.spotify.com/artist/2FQgnKHydnhSnRS17BSy28,2TeYAizye4GlmzQq5zyf91
Life Goes On - 2003 Remaster,Poison,Flesh & Blood,52,"glam metal, glam rock",https://open.spotify.com/artist/1fBCIkoPOPCDLUxGuWNvyo,2OWKsyrgUINadOG21dR0Fh
Climbing Up the Walls,Radiohead,OK Computer,67,"art rock, alternative rock",https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,2PDQReEXBViVwkrbQ34vd7
Alrighty Aphrodite,Peach Pit,Being So Normal,69,Unknown,https://open.spotify.com/artist/6fC2AcsQtd9h4BWELbbire,6OiRh4kttAs1YWglvTcYkB
All I Do,Logic,YS Collection Vol. 1,57,Unknown,https://open.spotify.com/artist/4xRYI6VqpkE3UwrDrAZL8L,1IY46WkIINigH71KTv7Uv2
I Can't Dance,Michael Seyer,I Can't Dance,43,bedroom pop,https://open.spotify.com/artist/7K4cef9h3NvU7Xb3BH7Ade,1hPekmlLQeGEDwXCLlVGyK
End of Beginning,Djo,DECIDE,91,psychedelic pop,https://open.spotify.com/artist/5p9HO3XC5P3BLxJs5Mtrhm,3qhlB30KknSejmIvZZLjOD
Jolene,Dolly Parton,Jolene,75,country,https://open.spotify.com/artist/32vWCbZh0xZ4o9gkz4PsEU,2SpEHTbUuebeLkgs9QB7Ue
Running Away,Thee Sacred Souls,Running Away,67,retro soul,https://open.spotify.com/artist/0oK5D6uPhGu4Jk2dbZfodU,34VDj911PQh8B1BXYoOMLq
Rinconcito En El Cielo,Ramon Ayala Y Sus Bravos Del Norte,RINCONCITO EN EL CIELO (Grabación Original Remasterizada),60,"norteño, tejano, cumbia norteña, música mexicana, corrido, grupera, banda, bolero, ranchera",https://open.spotify.com/artist/5j9R5dTGerKvdXopZnfJh9,2UxJGoX9zU2tLhegM57tHI
Tragos Amargos,Ramon Ayala Y Sus Bravos Del Norte,Cruzando Fronteras,57,"norteño, tejano, cumbia norteña, música mexicana, corrido, grupera, banda, bolero, ranchera",https://open.spotify.com/artist/5j9R5dTGerKvdXopZnfJh9,7ENNmSQQajwKTPX0m7ejYA
Miaou,Mathieu Fiset,Miaou,37,jazz fusion,https://open.spotify.com/artist/07icU8dCi2MTeBGuvN8NyL,7g00CZfsYe02JaNfG5qsaa
One More !!?!??,Mathieu Fiset,One More !!?!??,40,jazz fusion,https://open.spotify.com/artist/07icU8dCi2MTeBGuvN8NyL,5F8tuVZJ3271tRNO7IR0uT
Welcome Home (Sanitarium) (Remastered),Metallica,Master of Puppets (Remastered Deluxe Box Set),61,"metal, thrash metal, rock, heavy metal, hard rock",https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,7LHZ7HA45ezKcdN8sBrBuS
Gwendoline,La Rondalla De Saltillo,Las Mejores Rondallas de Mexico,17,"bolero, trova",https://open.spotify.com/artist/65wmIidwFZCCoT1BUewp5P,5jNSDEeHl2cKvRzFcWtQKl
Chicken Fried,Zac Brown Band,The Foundation,5,"country, acoustic country",https://open.spotify.com/artist/6yJCxee7QumYr820xdIsjo,4dGJf1SER1T6ooX46vwzRB
More Than A Fever,Midland,On The Rocks,53,"country, honky tonk",https://open.spotify.com/artist/1DTZRmlVZBxx2wRQBtx6yi,5t6GawlTh3qmDpncM495yl
The Gambler,Kenny Rogers,The Gambler,78,country,https://open.spotify.com/artist/4tw2Lmn9tTPUv7Gy7mVPI4,5KqldkCunQ2rWxruMEtGh0
9 to 5,Dolly Parton,9 To 5 And Odd Jobs,80,country,https://open.spotify.com/artist/32vWCbZh0xZ4o9gkz4PsEU,4w3tQBXhn5345eUXDGBWZG
Life is a Highway,Rascal Flatts,Me And My Gang,76,country,https://open.spotify.com/artist/0a1gHP0HAqALbEyxaD5Ngn,2Fs18NaCDuluPG1DHGw1XG
Shameful Game,Pale Jay,The Celestial Suite,67,retro soul,https://open.spotify.com/artist/7H3z77VbkJcCcFilmKqKNM,7IwPrc0AZV9uMSPitvJMxx
Magic Hour,¿Téo?,Luna,59,Unknown,https://open.spotify.com/artist/0jsnWH4QCKcAMpR7vEhh9u,6xHMi6HSt7yJvm3n81JZn6
Good Life,Kanye West,Graduation,77,rap,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,4ZPdLEztrlZqbJkgHNw54L
Cody Freestyle,Steve Lacy,Gemini Rights,58,Unknown,https://open.spotify.com/artist/57vWImR43h4CaDao012Ofp,2kk2trjT2JXhEHtCnz9FWA
Do For Love,2Pac,R U Still Down? [Remember Me],79,"gangster rap, west coast hip hop, g-funk, hip hop",https://open.spotify.com/artist/1ZwdS5xdxEREPySFridCfh,4AE7Lj39VnSZNOmGH2iZaq
Champion,Kanye West,Graduation,76,rap,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,4UQMOPSUVJVicIQzjAcRRZ
Good Morning,Kanye West,Graduation,75,rap,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,6MXXY2eiWkpDCezVCc0cMH
Thoughts from a Balcony,Mac Miller,Macadelic,67,Unknown,https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U,1DWDoxqAXqMJ4B8QUMaQUw
One More Love Song,Mac DeMarco,This Old Dog,72,indie,https://open.spotify.com/artist/3Sz7ZnJQBIHsXLUSo0OQtM,0v8J17a6cO0wWp7z731GTd
Summer Friends (feat. Jeremih & Francis & The Lights),Chance the Rapper,Coloring Book,55,Unknown,https://open.spotify.com/artist/1anyVhU62p31KFi8MEzkbf,2fl0B0OaXjWbjHCQFx2O8W
Brand Name,Mac Miller,GO:OD AM,57,Unknown,https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U,6ulzLZnp6Y2TVLh1inckeJ
Weekend Friend,Goth Babe,Weekend Friend,68,Unknown,https://open.spotify.com/artist/7o96HO2zrujyATtVsqGhh3,2d3QlXE6FXFDeodiS66yjM
beamer boy,Lil Peep,beamer boy,76,"emo rap, cloud rap",https://open.spotify.com/artist/2kCcBybjl3SAtIcwdWpUe3,1Rt5f1CktdvBOLX2RfBO6K
Pleaser,Wallows,Pleaser,68,indie,https://open.spotify.com/artist/0NIPkIjTV8mB795yEIiPYL,11zf7m4vw9Ze7cer9Nyhk1
prove it,21 Savage,american dream,78,Unknown,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,5wttBUDyaHAR5q9fYnN3YF
One Night Only,Sonder,One Night Only,80,Unknown,https://open.spotify.com/artist/2ICR2m4hOBPhaYiZB3rnLW,74fQgHleHZ4V7Gm1XYcGkj
Let Me Know (I Wonder Why Freestyle),Juice WRLD,Let Me Know (I Wonder Why Freestyle),81,"melodic rap, emo rap",https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,3wwo0bJvDSorOpNfzEkfXx
Scrawny,Wallows,Nothing Happens,69,indie,https://open.spotify.com/artist/0NIPkIjTV8mB795yEIiPYL,1pNUmVxDiE8t6P1XxcZAv8
Pictures of Girls,Wallows,Spring EP,62,indie,https://open.spotify.com/artist/0NIPkIjTV8mB795yEIiPYL,415dK4glwDO7fXxYg3np8B
It's Only Right,Wallows,Spring EP,53,indie,https://open.spotify.com/artist/0NIPkIjTV8mB795yEIiPYL,49shtsiVxakpVGxSltpgjX
I'm Full,Wallows,Nothing Happens,51,indie,https://open.spotify.com/artist/0NIPkIjTV8mB795yEIiPYL,7E9OnFFwTYDz6ZllgfbwOd
Only Friend,Wallows,Nothing Happens,55,indie,https://open.spotify.com/artist/0NIPkIjTV8mB795yEIiPYL,5q6Ue2SuMhMBxFPDP2VWXm
These Days,Wallows,Spring EP,65,indie,https://open.spotify.com/artist/0NIPkIjTV8mB795yEIiPYL,4gZDCOFuLCxCRWNhSEcOtJ
Immortal,21 Savage,Immortal,70,Unknown,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,4IO8X9W69dIQe0EC5ALXhq
Ground,Wallows,Spring EP,51,indie,https://open.spotify.com/artist/0NIPkIjTV8mB795yEIiPYL,2N977oXVcbzWqT4m3U698h
"All That Glitters Is Not Gold, but It's Still Damn Beautiful",$uicideboy$,I No Longer Fear the Razor Guarding My Heel (III),72,"dark trap, emo rap, horrorcore, punk rap, cloud rap, underground hip hop",https://open.spotify.com/artist/1VPmR4DJC1PlOtd0IADAO0,23A29DEDxMZdwpl0ZRrMOk
August,flipturn,Citrona,70,Unknown,https://open.spotify.com/artist/7FKTg75ADVMZgY3P9ZMRtH,0elCmyfISzkP5tAYTVuYjS
Trippy,Lil Wayne,I Am Not A Human Being II (Deluxe),47,"rap, hip hop",https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865,5RlLub78x2FhFhSNs1D2nE
Materialism as a Means to an End,$uicideboy$,Long Term Effects of SUFFERING,62,"dark trap, emo rap, horrorcore, punk rap, cloud rap, underground hip hop",https://open.spotify.com/artist/1VPmR4DJC1PlOtd0IADAO0,5xrH7dVah85mTEr4jgT1mu
LTE,$uicideboy$,YUNGDEATHLILLIFE,69,"dark trap, emo rap, horrorcore, punk rap, cloud rap, underground hip hop",https://open.spotify.com/artist/1VPmR4DJC1PlOtd0IADAO0,6GB3N6bDucdHThFVDCBcCv
One Last Thing,Mac Miller,Blue Slide Park,48,Unknown,https://open.spotify.com/artist/4LLpKhyESsyAXpc4laK94U,46q96jI1CtrudZstpWALGg
Tristes Ojos,Ramona,La Segunda Luz del Día,58,"mexican indie, latin indie, latin alternative",https://open.spotify.com/artist/3K8X4ZoPqijzc6QSP4eAQF,1MKQDYp54fNueGUOWNgRPq
NO SE VA - EN VIVO,Grupo Frontera,El Comienzo,76,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, corridos bélicos, tejano",https://open.spotify.com/artist/6XkjpgcEsYab502Vr1bBeW,76kelNDs1ojicx1s6Urvck
wacced out murals,Kendrick Lamar,GNX,78,"hip hop, west coast hip hop",https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,5gOfC9UzZQzTyShqPMrpjT
gloria (with sza),Kendrick Lamar,GNX,77,"hip hop, west coast hip hop",https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,0wgOhYnqZKjOHr6bmdz0aN
Romance,Hiroshi Suzuki,"WaJazz: Japanese Jazz Spectacle Vol.I - Deep, Heavy and Beautiful Jazz from Japan 1968-1984 - The Nippon Columbia masters - Selected by Yusuke Ogawa (Universounds)",55,jazz house,https://open.spotify.com/artist/3h1E4x69By503ompHFmKn5,4RsL2ZlU4P0CIKDrOwQkzz
Night Lights,Gerry Mulligan Sextet,Night Lights (Expanded Edition),57,"cool jazz, jazz",https://open.spotify.com/artist/6tzN9Ew9w6JB0UQr8culs1,5eVERkVvJKBgV2FziCoLDE
It Never Entered My Mind,Coleman Hawkins,Coleman Hawkins Encounters Ben Webster (Expanded Edition),55,"jazz, bebop, cool jazz, hard bop",https://open.spotify.com/artist/0JM134st8VY7Ld9T2wQiH0,6PKCEB5JzjCizpz9hUQcpX
Ocean Avenue,Yellowcard,Ocean Avenue,75,"pop punk, emo pop, punk, emo",https://open.spotify.com/artist/3zxKH0qp3nBCuPZCZT5Vaf,23oxJmDc1V9uLUSmN2LIvx
Thinkin Bout You,Frank Ocean,channel ORANGE,87,Unknown,https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM,7DfFc7a6Rwfi3YQMRbDMau
Given Up,Linkin Park,Minutes to Midnight,80,"nu metal, rap metal, rock, alternative metal",https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,1fLlRApgzxWweF1JTf8yM5
I'm Not In Love,10cc,The Original Soundtrack,78,"art rock, glam rock",https://open.spotify.com/artist/6i6WlGzQtXtz7GcC5H5st5,5HQEmiV2lKnSO6qa2fsR7x
Quisiera Saber (with Natalia Lafourcade),Los Daniels,A Casa,63,"rock en español, mexican rock, mexican indie",https://open.spotify.com/artist/6wAdcWMCHvamfged5FsKBD,7ETuZtnJJ1brMNiPpd2LFg
Triste canción,El Tri,Simplemente,70,"rock urbano, mexican rock, rock en español, latin rock",https://open.spotify.com/artist/3HgZDevp7GspkLUAa5cKne,11dn3mAagE0hOvd35rBNeV
Azul,Cristian Castro,Grandes Hits,70,latin pop,https://open.spotify.com/artist/2AZOALDIBORfbzKTuliwdJ,6pHCJmx9FXnMwEqB0LWUEH
Morena mía,Miguel Bosé,Sereno,76,latin pop,https://open.spotify.com/artist/7mWCSSOYqm4E9mB7V4ot6S,0HmQkmfYXRPweIg1ycw1R8
Tatuajes,Joan Sebastian,Joan Sebastian Con Mariachi,77,"banda, mariachi, ranchera, grupera, norteño, música mexicana",https://open.spotify.com/artist/7FsRH5bw8iWpSbMX1G7xf1,57dG9il4j7Hi7G8Cqgi0Ts
Next Exit,Vacations,No Place Like Home,67,Unknown,https://open.spotify.com/artist/0U7iI0Dk4Ojvi17nZboNO4,3aI2wWEeNmtYDvsAyJahyi
Qué de Raro Tiene,Vicente Fernández,Que De Raro Tiene,72,"mariachi, ranchera, música mexicana, bolero, banda, norteño",https://open.spotify.com/artist/4PPoI9LuYeFX8V674Z1R6l,3gA2qpAbnuKLQV8Q9ZtIcf
Creep,Radiohead,Pablo Honey,91,"art rock, alternative rock",https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,70LcF31zb1H0PyJoS1Sx1r
Doomsday,MF DOOM,Operation: Doomsday (Complete),76,"experimental hip hop, east coast hip hop, alternative hip hop, jazz rap",https://open.spotify.com/artist/2pAWfrd7WFF3XhVt9GooDL,7EQvdUJqZ2i7SWvSB2VqGA
One Beer,MF DOOM,MM..FOOD,76,"experimental hip hop, east coast hip hop, alternative hip hop, jazz rap",https://open.spotify.com/artist/2pAWfrd7WFF3XhVt9GooDL,4BnrGx9tWNF8aiXl1UhDBa
Rapp Snitch Knishes,MF DOOM,MM..FOOD,77,"experimental hip hop, east coast hip hop, alternative hip hop, jazz rap",https://open.spotify.com/artist/2pAWfrd7WFF3XhVt9GooDL,5KUNwkaNf8l5A9sXZhiCgI
Y LLORO,Junior H,$AD BOYZ 4 LIFE II,85,"corridos tumbados, corrido, corridos bélicos, sad sierreño, sierreño, música mexicana, banda",https://open.spotify.com/artist/7Gi6gjaWy3DxyilpF1a8Is,6RcAHyC5sAUIbPTkhOQwd8
No Recognition,Aaron May,No Recognition,65,Unknown,https://open.spotify.com/artist/2rwALQ1SXdfUWPUd6WOfYS,3nKrgkNMJGqBQT0QP9rArg
