Song Title,Artist,Album Title,Popularity,Genres,Artist Link,Track ID
Rosa Pastel,Belanova,Dulce Beat,80,latin pop,https://open.spotify.com/artist/3oNy8cjBtJzLC07I70sklp,3mU0DbuWtUX5KCaovOQZVK
Amarte A La Antigua,Pedro Fernández,Amarte A La Antigua,58,"mariachi, ranchera, música mexicana",https://open.spotify.com/artist/24dYJ8P3YuFihvMcElFUWh,7HveFMabDEzhn8ceKY5L6f
Mil Horas,La Sonora Dinamita,"Colección de Oro, Vol. 7",43,"cumbia, cumbia sonidera, tropical music, salsa",https://open.spotify.com/artist/13or1Wf6ipcvSIiurZATvw,2CDRN63zTTYC4hnMgjOFCz
Mil Horas - 1994 Remastered Version,Los Abuelos De La Nada,Los Abuelos De La Nada 1 (1994 Remastered Version),75,"argentine rock, latin rock, rock en español",https://open.spotify.com/artist/5R3NywPPOyhLfdvutgg0me,4pHdHimCLvD4nx8lh6uQyx
Benzi Box,DANGERDOOM,THE MOUSE & THE MASK,70,Unknown,https://open.spotify.com/artist/0b3fYxnG6tlR0zLtBJd8DF,6bmJYo1KS2X2nzQrCGzdOe
hyogo,Blvck Svm,mangalica mink,60,Unknown,https://open.spotify.com/artist/7gwpZPmZHIx4B2uLl6uimj,1X6xLtOzeuQz4bbBGEcXR4
where's the confetti?,jev.,the color grey.,68,jazz rap,https://open.spotify.com/artist/6OmxkansdRyVTvo6BpZzKF,3VL3aSOA8O3b5iOVBkD9iD
The Mission,Bakar,Nobody's Home,53,Unknown,https://open.spotify.com/artist/3K2Srho6NCF3o9MswGR76H,1pdhJJhfXx8vgwqsr8lC49
Feels Like We Only Go Backwards,Tame Impala,Lonerism,78,"indie, psychedelic pop",https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb,0LtOwyZoSNZKJWHqjzADpW
Navajo,Masego,Navajo,76,Unknown,https://open.spotify.com/artist/3ycxRkcZ67ALN3GQJ57Vig,6zWU7YALeEDMcPGhKKZJhV
How To Fly,Sticky Fingers,Caress Your Soul,73,surf rock,https://open.spotify.com/artist/3ZGr7nQBXDU2WhyXgRVbt0,6I3Evf3nNhxFA5lSM37Y0v
That's Life (feat. Mac Miller & Sia),88-Keys,That's Life (feat. Mac Miller & Sia),66,alternative hip hop,https://open.spotify.com/artist/6RedK3o51NbUJuJxXlT4kj,5h0Jgt873QtgL6nJRBGfT6
Loose Change (feat. Earl Sweatshirt),The Alchemist,This Thing Of Ours,60,"alternative hip hop, jazz rap, experimental hip hop, boom bap",https://open.spotify.com/artist/0eVyjRhzZKke2KFYTcDkeu,2Z5MbKovyels3EXitye0eo
